日期(月/日/年),资金
9/11/16,1000
9/12/16,1000
9/13/16,1002.05
9/14/16,998.61
9/15/16,1001.17
9/16/16,999.09
9/17/16,995.69
9/18/16,1003.14
9/19/16,1000.86
9/20/16,998.35
9/21/16,982.31
9/22/16,979.92
9/23/16,974.44
9/24/16,990.51
9/25/16,987.0
9/26/16,982.47
9/27/16,993.92
9/28/16,993.44
9/29/16,990.45
9/30/16,999.54
10/1/16,1008.45
10/2/16,1005.43
10/3/16,1003.58
10/4/16,999.92
10/5/16,995.92
10/6/16,1003.96
10/7/16,1012.37
10/8/16,1008.32
10/9/16,1009.81
10/10/16,1012.91
10/11/16,1008.37
10/12/16,1041.57
10/13/16,1043.13
10/14/16,1039.95
10/15/16,1046.38
10/16/16,1052.09
10/17/16,1048.07
10/18/16,1043.67
10/19/16,1032.12
10/20/16,1029.61
10/21/16,1036.5
10/22/16,1075.14
10/23/16,1071.48
10/24/16,1068.43
10/25/16,1074.86
10/26/16,1068.53
10/27/16,1119.0
10/28/16,1127.96
10/29/16,1125.06
10/30/16,1144.89
10/31/16,1151.45
11/1/16,1143.27
11/2/16,1202.84
11/3/16,1179.25
11/4/16,1179.25
11/5/16,1191.81
11/6/16,1204.0
11/7/16,1200.55
11/8/16,1198.88
11/9/16,1219.1
11/10/16,1220.06
11/11/16,1209.83
11/12/16,1189.98
11/13/16,1187.56
11/14/16,1194.63
11/15/16,1202.15
11/16/16,1203.54
11/17/16,1246.2
11/18/16,1264.06
11/19/16,1266.53
11/20/16,1241.7
11/21/16,1241.7
11/22/16,1241.7
11/23/16,1241.7
11/24/16,1241.7
11/25/16,1241.7
11/26/16,1241.7
11/27/16,1241.7
11/28/16,1241.7
11/29/16,1241.7
11/30/16,1241.7
12/1/16,1241.7
12/2/16,1267.19
12/3/16,1253.9
12/4/16,1251.67
12/5/16,1237.99
12/6/16,1241.25
12/7/16,1245.14
12/8/16,1262.74
12/9/16,1263.23
12/10/16,1261.69
12/11/16,1274.68
12/12/16,1274.68
12/13/16,1276.3
12/14/16,1271.21
12/15/16,1274.26
12/16/16,1272.83
12/17/16,1293.86
12/18/16,1293.37
12/19/16,1293.81
12/20/16,1301.06
12/21/16,1352.11
12/22/16,1369.76
12/23/16,1478.59
12/24/16,1462.68
12/25/16,1464.3
12/26/16,1472.06
12/27/16,1526.26
