日期(月/日/年),比特币价值,是否可以买卖黄金,黄金价值
9/11/16,621.65,1
9/12/16,609.67,0,1324.6
9/13/16,610.92,0,1323.65
9/14/16,608.82,0,1321.75
9/15/16,610.38,0,1310.8
9/16/16,609.11,0,1308.35
9/17/16,607.04,1
9/18/16,611.58,1
9/19/16,610.19,0,1314.85
9/20/16,608.66,0,1313.8
9/21/16,598.88,0,1326.1
9/22/16,597.42,0,1339.1
9/23/16,594.08,0,1338.65
9/24/16,603.88,1
9/25/16,601.74,1
9/26/16,598.98,0,1340.5
9/27/16,605.96,0,1327.0
9/28/16,605.67,0,1322.5
9/29/16,603.85,0,1318.1
9/30/16,609.39,0,1322.5
10/1/16,614.82,1
10/2/16,612.98,1
10/3/16,611.85,0,1313.3
10/4/16,609.62,0,1283.3
10/5/16,607.18,0,1269.4
10/6/16,612.08,0,1254.5
10/7/16,617.21,0,1258.75
10/8/16,614.74,1
10/9/16,615.65,1
10/10/16,617.54,0,1259.5
10/11/16,614.77,0,1253.45
10/12/16,635.01,0,1256.5
10/13/16,635.96,0,1261.05
10/14/16,634.02,0,1251.75
10/15/16,637.94,1
10/16/16,641.42,1
10/17/16,638.97,0,1254.8
10/18/16,636.29,0,1258.2
10/19/16,629.25,0,1269.05
10/20/16,627.72,0,1271.65
10/21/16,631.92,0,1266.05
10/22/16,655.48,1
10/23/16,653.25,1
10/24/16,651.39,0,1265.55
10/25/16,655.31,0,1269.4
10/26/16,651.45,0,1270.5
10/27/16,682.22,0,1266.25
10/28/16,687.68,0,1273.0
10/29/16,685.91,1
10/30/16,698.0,1
10/31/16,702.0,0,1272.0
11/1/16,697.01,0,1288.45
11/2/16,733.33,0,1303.75
11/3/16,686.17,0,1301.0
11/4/16,683.69,0,1302.8
11/5/16,704.79,1
11/6/16,712.0,1
11/7/16,709.96,0,1283.05
11/8/16,708.97,0,1282.35
11/9/16,720.93,0,1281.4
11/10/16,721.5,0,1267.5
11/11/16,715.45,0,1236.45
11/12/16,703.71,1
11/13/16,702.28,1
11/14/16,706.46,0,1213.6
11/15/16,710.91,0,1226.95
11/16/16,711.73,0,1229.2
11/17/16,736.96,0,1226.75
11/18/16,747.52,0,1211.0
11/19/16,748.98,1
11/20/16,729.06,1
11/21/16,738.53,0,1214.25
11/22/16,736.97,0,1212.25
11/23/16,741.63,0,1185.35
11/24/16,737.45,0,1186.1
11/25/16,735.64,0,1187.7
11/26/16,733.67,1
11/27/16,727.96,1
11/28/16,727.31,0,1187.0
11/29/16,732.71,0,1186.55
11/30/16,742.69,0,1178.1
12/1/16,742.05,0,1161.85
12/2/16,772.43,0,1173.5
12/3/16,764.33,1
12/4/16,762.97,1
12/5/16,754.63,0,1162.2
12/6/16,756.62,0,1172.5
12/7/16,758.99,0,1177.65
12/8/16,769.72,0,1171.05
12/9/16,770.02,0,1163.6
12/10/16,769.08,1
12/11/16,777.0,1
12/12/16,777.0,0,1156.1
12/13/16,777.99,0,1158.55
12/14/16,774.89,0,1162.25
12/15/16,776.75,0,1126.95
12/16/16,775.88,0,1131.6
12/17/16,788.7,1
12/18/16,788.4,1
12/19/16,788.67,0,1136.25
12/20/16,793.09,0,1125.7
12/21/16,824.21,0,1133.65
12/22/16,834.97,0,1131.35
12/23/16,901.31,1
12/24/16,891.61,1
12/25/16,892.6,1
12/26/16,897.33,1
12/27/16,930.37,1
12/28/16,930.34,0,1134.6
12/29/16,963.38,0,1145.9
12/30/16,952.15,1
12/31/16,958.12,1
1/1/17,997.72,1
1/2/17,1015.97,1
1/3/17,1013.42,0,1151.0
1/4/17,1126.76,0,1164.25
1/5/17,994.67,0,1176.7
1/6/17,999.65,0,1175.85
1/7/17,896.83,1
1/8/17,908.14,1
1/9/17,910.49,0,1178.5
1/10/17,906.05,0,1189.5
1/11/17,785.22,0,1178.55
