日期(月/日/年),资金
9/11/16,1000
9/12/16,1
9/13/16,1.0
9/14/16,1.0
9/15/16,1.0
9/16/16,1.0
9/17/16,1.0
9/18/16,1.01
9/19/16,1.01
9/20/16,1.01
9/21/16,0.99
9/22/16,0.99
9/23/16,0.99
9/24/16,0.99
9/25/16,0.99
9/26/16,0.99
9/27/16,1.0
9/28/16,1.0
9/29/16,1.0
9/30/16,1.01
10/1/16,1.02
10/2/16,1.02
10/3/16,1.02
10/4/16,1.02
10/5/16,1.02
10/6/16,1.03
10/7/16,1.04
10/8/16,1.04
10/9/16,1.04
10/10/16,1.04
10/11/16,1.04
10/12/16,1.07
10/13/16,1.07
10/14/16,1.07
10/15/16,1.08
10/16/16,1.09
10/17/16,1.09
10/18/16,1.09
10/19/16,1.08
10/20/16,1.08
10/21/16,1.09
10/22/16,1.13
10/23/16,1.13
10/24/16,1.13
10/25/16,1.14
10/26/16,1.13
10/27/16,1.18
10/28/16,1.19
10/29/16,1.19
10/30/16,1.21
10/31/16,1.22
11/1/16,1.21
11/2/16,1.27
11/3/16,1.25
11/4/16,1.25
11/5/16,1.26
11/6/16,1.27
11/7/16,1.27
11/8/16,1.27
11/9/16,1.29
11/10/16,1.29
11/11/16,1.28
11/12/16,1.26
11/13/16,1.26
11/14/16,1.27
11/15/16,1.28
11/16/16,1.28
11/17/16,1.33
11/18/16,1.35
11/19/16,1.35
11/20/16,1.32
11/21/16,1.32
11/22/16,1.32
11/23/16,1.32
11/24/16,1.32
11/25/16,1.32
11/26/16,1.32
11/27/16,1.32
11/28/16,1.32
11/29/16,1.32
11/30/16,1.32
12/1/16,1.32
12/2/16,1.35
12/3/16,1.34
12/4/16,1.34
12/5/16,1.33
12/6/16,1.33
12/7/16,1.33
12/8/16,1.35
12/9/16,1.35
12/10/16,1.35
12/11/16,1.36
12/12/16,1.36
12/13/16,1.36
12/14/16,1.35
12/15/16,1.35
12/16/16,1.35
12/17/16,1.37
12/18/16,1.37
12/19/16,1.37
12/20/16,1.38
12/21/16,1.43
12/22/16,1.45
12/23/16,1.57
12/24/16,1.55
12/25/16,1.55
12/26/16,1.56
12/27/16,1.62
12/28/16,1.62
12/29/16,1.68
12/30/16,1.66
12/31/16,1.67
1/1/17,1.74
1/2/17,1.77
1/3/17,1.77
1/4/17,1.97
1/5/17,1.93
1/6/17,1.93
1/7/17,1.93
1/8/17,1.93
1/9/17,1.93
1/10/17,1.93
1/11/17,1.93
1/12/17,1.93
1/13/17,2.0
1/14/17,1.98
1/15/17,1.98
1/16/17,2.01
1/17/17,2.19
1/18/17,2.2
1/19/17,2.17
1/20/17,2.16
1/21/17,2.16
1/22/17,2.22
1/23/17,2.23
1/24/17,2.22
1/25/17,2.18
1/26/17,2.19
1/27/17,2.19
1/28/17,2.2
1/29/17,2.19
1/30/17,2.18
1/31/17,2.31
2/1/17,2.35
2/2/17,2.36
2/3/17,2.43
2/4/17,2.47
2/5/17,2.48
2/6/17,2.46
2/7/17,2.52
2/8/17,2.53
2/9/17,2.48
2/10/17,2.49
