实际价格,预测价格
1269.4,1270.83
1270.5,1252.1
1266.25,1272.54
1273.0,1262.01
1272.0,1293.54
1288.45,1272.34
1303.75,1289.19
1301.0,1304.89
1302.8,1302.48
1283.05,1292.58
1282.35,1319.73
1281.4,1293.62
1267.5,1293.49
1236.45,1262.46
1213.6,1248.1
1226.95,1199.93
1229.2,1216.99
1226.75,1245.99
1211.0,1208.51
1214.25,1219.93
1212.25,1195.33
1185.35,1214.29
1186.1,1178.47
1187.7,1191.42
1187.0,1184.88
1186.55,1202.03
1178.1,1199.02
1161.85,1165.57
1173.5,1172.89
1162.2,1158.33
1172.5,1154.11
1177.65,1158.0
1171.05,1172.81
1163.6,1167.0
1156.1,1153.98
1158.55,1153.62
1162.25,1181.15
1126.95,1159.58
1131.6,1110.26
1136.25,1122.6
1125.7,1110.52
1133.65,1125.96
1131.35,1125.63
1134.6,1127.17
1145.9,1128.95
1151.0,1141.07
1164.25,1163.71
1176.7,1183.93
1175.85,1162.06
1178.5,1187.91
1189.5,1190.76
1178.55,1191.27
1205.05,1185.48
1190.35,1188.82
1203.0,1181.48
1216.05,1221.09
1214.75,1199.13
1196.05,1209.95
1200.55,1220.91
1212.85,1205.89
1216.8,1220.68
1195.0,1241.13
1189.7,1201.36
1184.85,1177.76
1192.8,1183.7
1212.8,1190.33
1203.65,1214.97
1221.95,1198.37
1215.2,1218.77
1226.75,1202.89
1231.0,1216.43
1242.1,1253.0
1236.8,1230.85
1228.3,1243.11
1222.25,1233.83
1230.75,1229.74
1224.4,1231.75
1240.55,1232.13
1241.95,1251.84
1237.3,1256.23
1233.2,1232.38
1236.65,1243.52
1247.9,1210.18
1253.65,1271.06
1257.2,1298.26
1255.6,1260.6
1240.4,1245.55
1238.1,1240.4
1226.5,1252.97
1230.95,1248.88
1216.65,1237.51
1209.2,1198.74
1206.55,1195.4
1202.65,1211.43
1204.2,1218.17
1204.6,1229.17
1198.8,1208.49
1229.35,1167.33
1229.6,1235.91
1232.4,1231.72
1241.6,1240.52
1249.05,1230.52
1247.5,1249.2
1247.5,1286.51
1257.55,1236.36
1257.25,1260.7
1251.1,1223.61
1248.8,1246.36
1244.85,1261.83
1247.25,1229.67
1257.65,1268.33
1245.8,1247.75
1252.5,1249.78
1266.45,1271.54
1250.05,1248.16
1252.9,1248.61
1274.3,1261.13
1284.15,1252.58
1278.95,1267.06
1279.05,1292.23
1282.1,1282.99
1281.85,1272.13
1269.4,1312.29
1267.8,1233.84
1261.85,1296.34
1262.8,1270.09
1266.45,1269.19
1255.45,1253.67
1250.3,1268.51
1228.45,1268.93
1228.05,1228.33
1229.8,1227.32
1220.4,1209.25
1222.95,1232.59
1223.15,1209.8
1231.25,1223.45
1233.3,1226.63
1234.2,1249.2
1257.4,1242.74
1255.9,1284.73
1252.0,1238.3
1258.85,1258.33
1260.2,1258.41
1252.55,1252.23
1256.95,1257.62
1265.05,1238.93
1262.7,1281.63
1266.2,1278.17
1264.85,1274.02
1274.95,1279.97
1279.95,1305.12
1293.5,1263.38
1291.0,1281.91
1273.1,1285.23
1266.55,1279.88
1266.4,1265.23
1262.0,1253.38
1275.5,1281.85
1254.55,1313.53
1255.4,1276.93
1248.15,1264.97
1242.2,1249.94
1242.5,1240.52
1250.8,1233.93
1255.7,1245.02
1245.25,1247.99
1249.55,1269.51
1248.0,1213.76
1243.5,1262.46
1242.25,1294.01
1229.25,1259.69
1223.75,1248.42
1220.3,1231.13
1224.9,1221.61
1215.65,1175.99
1211.9,1198.31
1211.05,1214.52
1218.8,1195.17
1218.9,1245.94
1230.3,1210.21
1234.1,1236.05
1240.75,1253.46
1242.15,1247.3
1238.7,1257.97
1248.55,1250.21
1255.55,1270.74
1254.4,1299.17
1248.1,1243.9
1261.1,1265.41
1264.9,1273.27
1267.55,1247.29
1270.95,1282.78
1269.6,1292.38
1268.1,1280.99
1257.7,1250.39
1258.0,1259.16
1261.8,1263.39
1271.05,1262.25
1284.4,1288.69
1286.1,1280.22
1282.3,1274.44
1270.3,1267.58
1272.75,1289.51
1285.15,1246.32
1295.8,1277.85
1292.9,1306.07
1284.2,1281.45
1286.65,1270.2
